event_id;idade;profissao;estado_civil;escolaridade;inadimplencia;financiamento_habitacional;emprestimo_pessoal;canal_contato;mes_contato;dia_semana;duracao_contato;contatos_campanha_atual;dias_desde_ultimo_contato;contatos_campanhas_anteriores;resultado_campanha_anterior;taxa_variacao_emprego;indice_precos_consumidor;indice_confianca_consumidor;euribor_3_meses;numero_empregados;resultado
1;56;trabalhador_domestico;casado;basico_4_anos;nao;nao;nao;telefone;mai;seg;261;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
2;57;servicos;casado;ensino_medio;desconhecido;nao;nao;telefone;mai;seg;149;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
3;37;servicos;casado;ensino_medio;nao;sim;nao;telefone;mai;seg;226;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
4;40;administrativo;casado;basico_6_anos;nao;nao;nao;telefone;mai;seg;151;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
5;56;servicos;casado;ensino_medio;nao;nao;sim;telefone;mai;seg;307;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
6;45;servicos;casado;basico_9_anos;desconhecido;nao;nao;telefone;mai;seg;198;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
7;59;administrativo;casado;curso_profissionalizante;nao;nao;nao;telefone;mai;seg;139;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
8;41;operario;casado;desconhecido;desconhecido;nao;nao;telefone;mai;seg;217;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
9;24;tecnico;solteiro;curso_profissionalizante;nao;sim;nao;telefone;mai;seg;380;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
10;25;servicos;solteiro;ensino_medio;nao;sim;nao;telefone;mai;seg;50;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
11;41;operario;casado;desconhecido;desconhecido;nao;nao;telefone;mai;seg;55;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
12;25;servicos;solteiro;ensino_medio;nao;sim;nao;telefone;mai;seg;222;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
13;29;operario;solteiro;ensino_medio;nao;nao;sim;telefone;mai;seg;137;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
14;57;trabalhador_domestico;divorciado_ou_viuvo;basico_4_anos;nao;sim;nao;telefone;mai;seg;293;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
15;35;operario;casado;basico_6_anos;nao;sim;nao;telefone;mai;seg;146;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
16;54;aposentado;casado;basico_9_anos;desconhecido;sim;sim;telefone;mai;seg;174;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
17;35;operario;casado;basico_6_anos;nao;sim;nao;telefone;mai;seg;312;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
18;46;operario;casado;basico_6_anos;desconhecido;sim;sim;telefone;mai;seg;440;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
19;50;operario;casado;basico_9_anos;nao;sim;sim;telefone;mai;seg;353;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
20;39;gestao;solteiro;basico_9_anos;desconhecido;nao;nao;telefone;mai;seg;195;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
21;30;desempregado;casado;ensino_medio;nao;nao;nao;telefone;mai;seg;38;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
22;55;operario;casado;basico_4_anos;desconhecido;sim;nao;telefone;mai;seg;262;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
23;55;aposentado;solteiro;ensino_medio;nao;sim;nao;telefone;mai;seg;342;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
24;41;tecnico;solteiro;ensino_medio;nao;sim;nao;telefone;mai;seg;181;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
25;37;administrativo;casado;ensino_medio;nao;sim;nao;telefone;mai;seg;172;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
26;35;tecnico;casado;ensino_superior;nao;nao;sim;telefone;mai;seg;99;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
27;59;tecnico;casado;desconhecido;nao;sim;nao;telefone;mai;seg;93;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
28;39;autonomo;casado;basico_9_anos;desconhecido;nao;nao;telefone;mai;seg;233;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
29;54;tecnico;solteiro;ensino_superior;desconhecido;nao;nao;telefone;mai;seg;255;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
30;55;desconhecido;casado;ensino_superior;desconhecido;desconhecido;desconhecido;telefone;mai;seg;362;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
31;46;administrativo;casado;desconhecido;nao;nao;nao;telefone;mai;seg;348;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
32;59;tecnico;casado;desconhecido;nao;sim;nao;telefone;mai;seg;386;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
33;49;operario;casado;desconhecido;nao;nao;nao;telefone;mai;seg;73;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
34;54;gestao;casado;basico_4_anos;desconhecido;sim;nao;telefone;mai;seg;230;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
35;54;operario;divorciado_ou_viuvo;basico_4_anos;nao;nao;nao;telefone;mai;seg;208;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
36;55;desconhecido;casado;basico_4_anos;desconhecido;sim;nao;telefone;mai;seg;336;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
37;34;servicos;casado;ensino_medio;nao;nao;nao;telefone;mai;seg;365;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
38;52;tecnico;casado;basico_9_anos;nao;sim;nao;telefone;mai;seg;1666;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
39;41;administrativo;casado;ensino_superior;nao;sim;nao;telefone;mai;seg;577;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
40;56;tecnico;casado;basico_4_anos;nao;sim;nao;telefone;mai;seg;137;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
41;58;gestao;desconhecido;ensino_superior;nao;sim;nao;telefone;mai;seg;366;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
42;32;empreendedor;casado;ensino_medio;nao;sim;nao;telefone;mai;seg;314;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
43;38;administrativo;solteiro;curso_profissionalizante;nao;nao;nao;telefone;mai;seg;160;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
44;57;administrativo;casado;ensino_superior;nao;nao;sim;telefone;mai;seg;212;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
45;44;administrativo;casado;ensino_superior;desconhecido;sim;nao;telefone;mai;seg;188;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
46;42;tecnico;solteiro;curso_profissionalizante;desconhecido;nao;nao;telefone;mai;seg;22;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
47;57;administrativo;casado;ensino_superior;nao;sim;sim;telefone;mai;seg;616;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
48;40;operario;casado;basico_9_anos;nao;nao;sim;telefone;mai;seg;178;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
49;35;administrativo;casado;ensino_superior;nao;sim;nao;telefone;mai;seg;355;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
50;45;operario;casado;basico_9_anos;nao;sim;nao;telefone;mai;seg;225;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
51;54;administrativo;casado;ensino_medio;nao;nao;nao;telefone;mai;seg;160;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
52;39;trabalhador_domestico;casado;basico_4_anos;nao;nao;sim;telefone;mai;seg;266;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
53;60;administrativo;casado;ensino_medio;nao;nao;nao;telefone;mai;seg;253;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
54;53;administrativo;solteiro;curso_profissionalizante;nao;nao;nao;telefone;mai;seg;179;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
55;55;operario;casado;basico_4_anos;desconhecido;nao;nao;telefone;mai;seg;269;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
56;55;tecnico;casado;curso_profissionalizante;desconhecido;sim;nao;telefone;mai;seg;135;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
57;50;gestao;casado;ensino_superior;desconhecido;nao;sim;telefone;mai;seg;161;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
58;45;servicos;casado;ensino_medio;desconhecido;sim;nao;telefone;mai;seg;787;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
59;55;desempregado;casado;curso_profissionalizante;desconhecido;sim;sim;telefone;mai;seg;145;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
60;25;tecnico;solteiro;ensino_superior;nao;sim;nao;telefone;mai;seg;174;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
61;47;empreendedor;casado;ensino_superior;desconhecido;nao;nao;telefone;mai;seg;449;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
62;51;operario;casado;basico_9_anos;nao;sim;nao;telefone;mai;seg;812;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
63;42;operario;casado;basico_6_anos;desconhecido;sim;nao;telefone;mai;seg;164;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
64;42;operario;casado;basico_6_anos;desconhecido;nao;nao;telefone;mai;seg;366;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
65;48;administrativo;casado;ensino_medio;nao;nao;nao;telefone;mai;seg;357;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
66;37;administrativo;casado;ensino_superior;nao;nao;nao;telefone;mai;seg;232;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
67;44;operario;solteiro;basico_9_anos;nao;sim;nao;telefone;mai;seg;91;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
68;33;administrativo;casado;desconhecido;nao;sim;nao;telefone;mai;seg;273;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
69;56;administrativo;casado;basico_9_anos;nao;sim;nao;telefone;mai;seg;158;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
70;44;operario;solteiro;basico_4_anos;desconhecido;sim;sim;telefone;mai;seg;177;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
71;41;gestao;casado;basico_6_anos;nao;nao;nao;telefone;mai;seg;200;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
72;44;gestao;divorciado_ou_viuvo;ensino_superior;nao;sim;nao;telefone;mai;seg;172;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
73;47;administrativo;casado;ensino_superior;desconhecido;sim;nao;telefone;mai;seg;176;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
74;57;desconhecido;casado;desconhecido;desconhecido;nao;nao;telefone;mai;seg;211;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
75;37;administrativo;casado;ensino_superior;desconhecido;sim;nao;telefone;mai;seg;214;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
76;41;operario;divorciado_ou_viuvo;basico_4_anos;desconhecido;sim;nao;telefone;mai;seg;1575;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;1
77;55;tecnico;casado;ensino_superior;nao;nao;nao;telefone;mai;seg;349;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
78;33;servicos;casado;ensino_medio;desconhecido;sim;nao;telefone;mai;seg;337;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
79;55;gestao;casado;desconhecido;desconhecido;sim;nao;telefone;mai;seg;272;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
80;42;operario;casado;basico_9_anos;desconhecido;nao;nao;telefone;mai;seg;208;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
81;50;operario;casado;basico_4_anos;desconhecido;sim;nao;telefone;mai;seg;193;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
82;51;operario;casado;basico_4_anos;desconhecido;desconhecido;desconhecido;telefone;mai;seg;212;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
83;38;administrativo;casado;ensino_medio;desconhecido;nao;nao;telefone;mai;seg;165;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
84;49;empreendedor;casado;ensino_superior;desconhecido;sim;nao;telefone;mai;seg;1042;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;1
85;38;tecnico;solteiro;ensino_superior;nao;nao;sim;telefone;mai;seg;20;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
86;31;administrativo;divorciado_ou_viuvo;ensino_medio;nao;nao;nao;telefone;mai;seg;246;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
87;41;gestao;casado;basico_6_anos;nao;nao;nao;telefone;mai;seg;529;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
88;39;administrativo;casado;ensino_superior;nao;sim;sim;telefone;mai;seg;192;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
89;49;tecnico;casado;basico_9_anos;nao;nao;nao;telefone;mai;seg;1467;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;1
90;34;administrativo;casado;ensino_medio;nao;sim;nao;telefone;mai;seg;188;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
