event_id;idade;profissao;estado_civil;escolaridade;inadimplencia;financiamento_habitacional;emprestimo_pessoal;split
1;56;trabalhador_domestico;casado;basico_4_anos;nao;nao;nao;train
2;57;servicos;casado;ensino_medio;desconhecido;nao;nao;validation
3;37;servicos;casado;ensino_medio;nao;sim;nao;test
4;40;administrativo;casado;basico_6_anos;nao;nao;nao;train
5;56;servicos;casado;ensino_medio;nao;nao;sim;train
6;45;servicos;casado;basico_9_anos;desconhecido;nao;nao;train
7;59;administrativo;casado;curso_profissionalizante;nao;nao;nao;train
8;41;operario;casado;desconhecido;desconhecido;nao;nao;train
9;24;tecnico;solteiro;curso_profissionalizante;nao;sim;nao;train
10;25;servicos;solteiro;ensino_medio;nao;sim;nao;test
11;41;operario;casado;desconhecido;desconhecido;nao;nao;validation
12;25;servicos;solteiro;ensino_medio;nao;sim;nao;train
13;29;operario;solteiro;ensino_medio;nao;nao;sim;test
14;57;trabalhador_domestico;divorciado_ou_viuvo;basico_4_anos;nao;sim;nao;train
15;35;operario;casado;basico_6_anos;nao;sim;nao;train
16;54;aposentado;casado;basico_9_anos;desconhecido;sim;sim;train
17;35;operario;casado;basico_6_anos;nao;sim;nao;test
18;46;operario;casado;basico_6_anos;desconhecido;sim;sim;train
19;50;operario;casado;basico_9_anos;nao;sim;sim;test
20;39;gestao;solteiro;basico_9_anos;desconhecido;nao;nao;train
21;30;desempregado;casado;ensino_medio;nao;nao;nao;train
22;55;operario;casado;basico_4_anos;desconhecido;sim;nao;validation
23;55;aposentado;solteiro;ensino_medio;nao;sim;nao;train
24;41;tecnico;solteiro;ensino_medio;nao;sim;nao;train
25;37;administrativo;casado;ensino_medio;nao;sim;nao;train
26;35;tecnico;casado;ensino_superior;nao;nao;sim;train
27;59;tecnico;casado;desconhecido;nao;sim;nao;train
28;39;autonomo;casado;basico_9_anos;desconhecido;nao;nao;train
29;54;tecnico;solteiro;ensino_superior;desconhecido;nao;nao;test
30;55;desconhecido;casado;ensino_superior;desconhecido;desconhecido;desconhecido;train
