event_id;split
1;train
2;validation
3;test
4;train
5;train
6;train
7;train
8;train
9;train
10;test
11;validation
12;train
13;test
14;train
15;train
16;train
17;test
18;train
19;test
20;train
21;train
22;validation
23;train
24;train
25;train
26;train
27;train
28;train
29;test
30;train
31;train
32;train
33;validation
34;train
35;train
36;train
37;train
38;test
39;train
40;train
41;train
42;train
43;train
44;train
45;train
46;test
47;train
48;train
49;test
50;train
51;train
52;train
53;train
54;train
55;train
56;validation
57;train
58;train
59;validation
60;train
61;validation
62;train
63;train
64;train
65;train
66;train
67;test
68;test
69;train
70;train
71;train
72;validation
73;train
74;train
75;test
76;validation
77;train
78;train
79;test
80;test
81;train
82;train
83;train
84;test
85;validation
86;train
87;train
88;train
89;train
90;train
91;train
92;train
93;train
94;train
95;train
96;train
97;validation
98;train
99;train
100;train
101;test
102;train
103;train
104;train
105;train
106;train
107;train
108;test
109;test
110;train
111;train
112;validation
113;train
114;train
115;train
116;validation
117;train
118;train
119;train
120;train
121;validation
122;validation
123;train
124;test
125;train
126;test
127;train
128;train
129;test
130;train
131;validation
132;train
133;train
134;train
135;train
136;train
137;test
138;train
139;train
140;train
141;train
142;validation
143;train
144;test
145;train
146;train
147;validation
148;train
149;test
150;train
151;test
152;train
153;train
154;validation
155;train
156;train
157;test
158;train
159;test
160;validation
161;validation
162;validation
163;train
164;train
165;test
166;train
167;validation
168;test
169;validation
170;train
171;train
172;train
173;train
174;train
175;train
176;train
177;train
178;test
179;train
180;validation
181;train
182;train
183;validation
184;train
185;test
186;test
187;train
188;train
189;train
190;train
191;train
192;train
193;validation
194;train
195;train
196;validation
197;test
198;test
199;test
200;validation
201;train
202;train
203;train
204;validation
205;validation
206;train
207;train
208;train
209;train
210;test
211;train
212;train
213;test
214;test
215;train
216;train
217;train
218;test
219;validation
220;train
221;train
222;test
223;train
224;train
225;train
226;train
227;validation
228;train
229;train
230;validation
231;train
232;train
233;test
234;train
235;test
236;validation
237;train
238;train
239;train
240;validation
241;train
242;validation
243;train
244;test
245;validation
246;train
247;test
248;train
249;train
250;train
251;validation
252;train
253;train
254;train
255;train
256;validation
257;train
258;train
259;train
260;train
261;train
262;train
263;test
264;train
265;validation
266;train
267;train
268;train
269;validation
270;train
271;train
272;train
273;train
274;train
275;train
276;test
277;train
278;test
279;validation
280;train
281;train
282;train
283;test
284;validation
285;train
286;train
287;train
288;train
289;validation
290;validation
291;train
292;train
293;train
294;train
295;validation
296;train
297;train
298;train
299;train
300;train
301;train
302;test
303;train
304;train
305;validation
306;test
307;train
308;train
309;test
310;test
311;train
312;train
313;validation
314;train
315;test
316;train
317;train
318;validation
319;train
320;train
321;train
322;test
323;train
324;train
325;validation
326;train
327;train
328;test
329;train
330;train
331;train
332;test
333;train
334;train
335;train
336;test
337;train
338;train
339;test
340;train
341;train
342;train
343;train
344;test
345;train
346;test
347;train
348;validation
349;train
350;train
351;train
352;train
353;train
354;train
355;train
356;train
357;train
358;validation
359;train
360;validation
361;train
362;validation
363;test
364;train
365;train
366;test
367;train
368;train
369;train
370;train
371;test
372;validation
373;test
374;train
375;train
376;test
377;train
378;validation
379;validation
380;validation
381;train
382;train
383;test
384;train
385;train
386;test
387;train
388;train
389;train
390;train
391;train
392;train
393;train
394;validation
395;train
396;train
397;train
398;train
399;validation
400;validation
401;validation
402;train
403;validation
404;train
405;train
406;train
407;train
408;train
409;train
410;validation
411;train
412;validation
413;test
414;test
415;train
416;test
417;train
418;train
419;train
420;train
421;train
422;test
423;train
424;train
425;train
426;train
427;validation
428;train
429;train
430;train
431;test
432;train
433;train
434;train
435;train
436;train
437;train
438;train
439;train
440;train
441;train
442;test
443;train
444;train
445;train
446;train
447;validation
448;train
449;train
450;train
451;train
452;train
453;train
454;train
455;train
456;train
457;test
458;train
459;train
460;train
461;train
462;train
463;train
464;test
465;train
466;train
467;train
468;train
469;train
470;test
471;train
472;train
473;train
474;train
475;validation
476;train
477;train
478;train
479;train
480;train
481;train
482;train
483;train
484;train
485;train
486;train
487;train
488;train
489;train
490;train
491;train
492;train
493;validation
494;train
495;train
496;train
497;train
498;test
499;train
500;validation
501;test
502;validation
503;train
504;validation
505;train
506;train
507;train
508;validation
509;train
510;train
511;validation
512;train
513;train
514;train
515;train
516;train
517;test
518;train
519;train
520;validation
521;train
522;train
523;train
524;train
525;train
526;train
527;train
528;validation
529;train
530;train
531;train
532;validation
533;train
534;train
535;train
536;validation
537;test
538;validation
539;validation
540;train
541;train
542;train
543;train
544;train
545;train
546;train
547;validation
548;train
549;train
550;train
551;train
552;test
553;train
554;test
555;train
556;train
557;train
558;train
559;test
560;test
561;train
562;train
563;train
564;train
565;train
566;train
567;train
568;train
569;validation
570;test
571;test
572;train
573;validation
574;test
575;validation
576;train
577;train
578;test
579;test
580;train
581;train
582;train
583;validation
584;test
585;train
586;train
587;train
588;validation
589;train
590;train
591;train
592;train
593;train
594;train
595;validation
596;train
597;validation
598;train
599;train
600;train
601;validation
602;train
603;validation
604;train
605;train
606;train
607;train
608;train
609;validation
610;train
611;test
612;validation
613;validation
614;train
615;train
616;train
617;validation
618;train
619;train
620;train
621;train
622;train
623;validation
624;train
625;train
626;train
627;train
628;test
629;test
630;train
631;train
632;train
633;validation
634;train
635;train
636;train
637;train
638;train
639;train
640;train
641;test
642;train
643;train
644;train
645;train
646;train
647;train
648;train
649;train
650;test
651;train
652;train
653;test
654;train
655;train
656;train
657;train
658;train
659;test
660;train
661;train
662;train
