event_id;mes_contato;dia_semana;resultado_campanha_anterior;dias_desde_ultimo_contato;contatos_campanhas_anteriores;tentativas_anteriores_campanha_atual;taxa_variacao_emprego;indice_precos_consumidor;indice_confianca_consumidor;euribor_3_meses;numero_empregados;nunca_contatado_anteriormente;canal_contato;resultado
1;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
4;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
5;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
6;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
7;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
8;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
9;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
12;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
14;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
15;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
16;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
18;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
20;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
21;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
23;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
24;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
25;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
26;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
27;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
28;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
30;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
31;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
32;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
34;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
35;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
36;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
37;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
39;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
40;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
41;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
42;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
43;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
44;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
45;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
47;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
48;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
50;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
51;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
52;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
53;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
54;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
55;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
57;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
