feature,coefficient,odds_ratio
mes_contato_mar,1.2789439568330947,3.592843523592655
indice_precos_consumidor,1.0214814531216931,2.7773061666776857
euribor_3_meses,0.6547929090232651,1.9247438790107143
mes_contato_dez,0.31569140300255993,1.3712070399524603
mes_contato_ago,0.2838003900487549,1.328167788783623
resultado_campanha_anterior_sucesso,0.1765136728518397,1.1930507390540719
canal_contato_celular,0.13431567985832052,1.1437538227056567
numero_empregados,0.11961552419271469,1.1270634396406944
indice_confianca_consumidor,0.10318505488358755,1.1086965598061584
dia_semana_qua,0.05231465972805244,1.0537072495912694
dias_desde_ultimo_contato,-0.019559055996345505,0.9806309813389528
contatos_campanhas_anteriores,-0.029778887738695903,0.9706601346794999
mes_contato_set,-0.05010116039008192,0.9511332026280772
dia_semana_qui,-0.07537680257260303,0.9273939760485103
dia_semana_sex,-0.0822655487050565,0.9210273486000965
mes_contato_jul,-0.08273373929446785,0.9205962331928549
resultado_campanha_anterior_inexistente,-0.10414204455984859,0.9010972923619346
dia_semana_ter,-0.10847641296500637,0.8972000568565325
tentativas_anteriores_campanha_atual,-0.11819669687126315,0.8885212660721107
mes_contato_abr,-0.1423400523002445,0.8673262700401573
mes_contato_out,-0.15754674963136256,0.8542368774158701
dia_semana_seg,-0.294543803485983,0.7448713176666616
resultado_campanha_anterior_fracasso,-0.5807195362925643,0.559495644274538
mes_contato_mai,-0.6056524729303515,0.5457182440707482
canal_contato_telefone,-0.6426635878589202,0.5258898031754881
mes_contato_nov,-0.6514174586402355,0.521306322660758
mes_contato_jun,-0.6969920246983342,0.498081268905495
nunca_contatado_anteriormente,-1.1619397948631442,0.312878671411633
taxa_variacao_emprego,-2.157387532208116,0.11562679809158401
