split,seed,mean_reward,cumulative_reward,accepted_events,replay_coverage,exploration_rate,fallback_rate,celular_selection_rate,telefone_selection_rate,absolute_lift_vs_fixed,relative_lift_vs_fixed
validation,1000,0.1715686274509804,455,2652,0.42940414507772023,0.13730569948186527,0.16839378238341968,0.7130829015544041,0.2869170984455959,0.028602266594711268,0.20006291286568093
validation,1001,0.16777816777816779,478,2849,0.46130181347150256,0.13568652849740934,0.16839378238341968,0.747571243523316,0.25242875647668395,0.02481180692189866,0.17354996499381523
validation,1002,0.1696969696969697,448,2640,0.4274611398963731,0.14491580310880828,0.16839378238341968,0.7192357512953368,0.2807642487046632,0.02673060884070058,0.18697131745260084
validation,1003,0.16666666666666666,441,2646,0.42843264248704666,0.14329663212435234,0.16839378238341968,0.7075777202072538,0.2924222797927461,0.02370030581039753,0.16577540106951855
validation,1004,0.17028319235012873,463,2719,0.44025259067357514,0.14572538860103626,0.16839378238341968,0.7093588082901554,0.29064119170984454,0.027316831493859606,0.19107174114421582
validation,1005,0.1667842031029619,473,2836,0.45919689119170987,0.13487694300518135,0.16839378238341968,0.7525906735751295,0.24740932642487046,0.023817842246692783,0.16659752758649282
validation,1006,0.17889530090684255,434,2426,0.39281088082901555,0.15948834196891193,0.16839378238341968,0.6408678756476683,0.3591321243523316,0.03592894005057343,0.2513104469847596
validation,1007,0.16876267748478702,416,2465,0.39912564766839376,0.19251943005181346,0.16839378238341968,0.6669365284974094,0.3330634715025907,0.02579631662851789,0.18043626818236042
validation,1008,0.18419975440032746,450,2443,0.3955634715025907,0.15560233160621761,0.16839378238341968,0.6611075129533679,0.3388924870466321,0.04123339354405833,0.2884132553776914
validation,1009,0.1880597014925373,441,2345,0.3796955958549223,0.15722150259067358,0.16839378238341968,0.6436204663212435,0.35637953367875647,0.04509334063626819,0.3154122435948598
validation,1010,0.17040673211781207,486,2852,0.46178756476683935,0.12710492227979275,0.16839378238341968,0.7535621761658031,0.24643782383419688,0.027440371261542945,0.1919358588775303
validation,1011,0.17464021781408012,449,2571,0.4162888601036269,0.1484779792746114,0.16839378238341968,0.6912240932642487,0.3087759067357513,0.031673856957811,0.22154761979046406
validation,1012,0.17183951551854657,454,2642,0.42778497409326427,0.14491580310880828,0.16839378238341968,0.7134067357512953,0.2865932642487047,0.02887315466227744,0.20195768073935233
validation,1013,0.17357613328167376,448,2581,0.4179080310880829,0.1403821243523316,0.16839378238341968,0.696729274611399,0.30327072538860106,0.030609772425404635,0.21410471835523667
validation,1014,0.17411402157164868,452,2596,0.42033678756476683,0.17584196891191708,0.16839378238341968,0.6978626943005182,0.3021373056994819,0.031147660715379555,0.21786705997709332
validation,1015,0.17014694508894046,440,2586,0.41871761658031087,0.16806994818652848,0.16839378238341968,0.6758419689119171,0.3241580310880829,0.027180584232671334,0.19011873891087755
validation,1016,0.17524177949709865,453,2585,0.4185556994818653,0.15981217616580312,0.16839378238341968,0.6889572538860104,0.31104274611398963,0.03227541864082953,0.22575533466419798
validation,1017,0.1787968026924695,425,2377,0.3848769430051813,0.19138601036269431,0.16839378238341968,0.6313147668393783,0.36868523316062174,0.03583044183620038,0.2506214862125673
validation,1018,0.1731378763866878,437,2524,0.40867875647668395,0.16952720207253885,0.16839378238341968,0.6764896373056994,0.3235103626943005,0.030171515530418663,0.21103926371009415
validation,1019,0.1752958579881657,474,2704,0.4378238341968912,0.16580310880829016,0.16839378238341968,0.716321243523316,0.28367875647668395,0.03232949713189656,0.2261335949118754
validation,1020,0.17193675889328064,435,2530,0.4096502590673575,0.16224093264248704,0.16839378238341968,0.6816709844559585,0.31832901554404147,0.028970398037011513,0.20263786434444414
validation,1021,0.1709340064911648,474,2773,0.4489961139896373,0.12176165803108809,0.16839378238341968,0.7414183937823834,0.25858160621761656,0.027967645634895677,0.19562395984194408
validation,1022,0.15928906773977197,475,2982,0.48283678756476683,0.12159974093264249,0.16839378238341968,0.7852979274611399,0.21470207253886012,0.016322706883502847,0.11417166098193433
validation,1023,0.17336309523809523,466,2688,0.43523316062176165,0.13406735751295337,0.16839378238341968,0.7040155440414507,0.2959844559585492,0.030396734381826107,0.21261459129106172
validation,1024,0.17897616256350138,458,2559,0.41434585492227977,0.16871761658031087,0.16839378238341968,0.6821567357512953,0.3178432642487047,0.03600980170723225,0.2518760461660951
validation,1025,0.1681614349775785,450,2676,0.4332901554404145,0.1560880829015544,0.16839378238341968,0.7114637305699482,0.28853626943005184,0.025195074121309363,0.17623078583247404
validation,1026,0.1673992673992674,457,2730,0.4420336787564767,0.11674222797927461,0.16839378238341968,0.7312176165803109,0.26878238341968913,0.02443290654299826,0.1708996885467472
validation,1027,0.169529499626587,454,2678,0.4336139896373057,0.13746761658031087,0.16839378238341968,0.7098445595854922,0.29015544041450775,0.02656313877031788,0.18579992252179564
validation,1028,0.164021164021164,465,2835,0.45903497409326427,0.11787564766839378,0.16839378238341968,0.7605246113989638,0.23947538860103626,0.021054803164894886,0.14727102962397062
validation,1029,0.1715210355987055,477,2781,0.45029145077720206,0.13876295336787564,0.16839378238341968,0.7313795336787565,0.26862046632124353,0.028554674742436364,0.19973002440164045
test,1000,0.17481709664998074,454,2597,0.42043062975554474,0.1238465274405051,0.16043386757325562,0.7213857859802493,0.2786142140197507,0.022944341390873507,0.15107608571220427
test,1001,0.16749821810406273,470,2806,0.45426582483406186,0.1639954670552048,0.16043386757325562,0.7445361826129189,0.2554638173870811,0.0156254628449555,0.10288522663789956
test,1002,0.18799499791579824,451,2399,0.3883762344180023,0.13631212562732717,0.16043386757325562,0.6776752468836005,0.3223247531163995,0.036122242656691006,0.23784544235773908
test,1003,0.16966406515100102,500,2947,0.47709243969564513,0.14877772381414928,0.16043386757325562,0.7744859964384005,0.22551400356159948,0.017791309891893786,0.1171461587138547
test,1004,0.18103818103818103,422,2331,0.3773676542010685,0.13436943500080945,0.16043386757325562,0.6676380119799256,0.3323619880200745,0.0291654257790738,0.19203856366018526
test,1005,0.1827613727055068,458,2506,0.4056985591711187,0.12773190869354056,0.16043386757325562,0.7001780799740974,0.2998219200259025,0.030888617446399563,0.2033848493345701
test,1006,0.18189509306260576,430,2364,0.3827100534239922,0.1389023797960175,0.16043386757325562,0.6713615023474179,0.3286384976525822,0.030022337803498528,0.1976808661453332
test,1007,0.18530884808013356,444,2396,0.3878905617613728,0.13194107171766228,0.16043386757325562,0.6862554638173871,0.31374453618261294,0.03343609282102633,0.22015859766277135
test,1008,0.18039664378337147,473,2622,0.4244779018941234,0.1345313258863526,0.16043386757325562,0.7111866601910313,0.2888133398089687,0.02852388852426424,0.1878143876141588
test,1009,0.1794871794871795,448,2496,0.4040796503156872,0.1120284927958556,0.16043386757325562,0.6933786627812855,0.3066213372187146,0.027614424228072254,0.18182605682605685
test,1010,0.1821656050955414,429,2355,0.38125303545410394,0.1371215800550429,0.16043386757325562,0.6711996114618747,0.3288003885381253,0.030292849836434155,0.1994620416594938
test,1011,0.17934568387859676,455,2537,0.41071717662295615,0.12692245426582482,0.16043386757325562,0.7110247693054881,0.2889752306945119,0.027472928619489523,0.1808943847276523
test,1012,0.18323977546110665,457,2494,0.40375586854460094,0.12417030921159139,0.16043386757325562,0.6998542982030111,0.30014570179698885,0.03136702020199941,0.206534872884111
test,1013,0.17453347969264543,477,2733,0.4424477901894123,0.11785656467540877,0.16043386757325562,0.752468836004533,0.24753116399546707,0.0226607244335382,0.14920862135461468
test,1014,0.17562060022230455,474,2699,0.43694350008094546,0.13177918083211915,0.16043386757325562,0.7298041120284928,0.27019588797150723,0.023747844963197318,0.15636672240970126
test,1015,0.18297533810660302,460,2514,0.40699368625546384,0.16318601262748908,0.16043386757325562,0.6956451351788894,0.30435486482111057,0.031102582847495786,0.20479369584381515
test,1016,0.2,407,2035,0.32944795208029787,0.1426258701635098,0.16043386757325562,0.6032054395337543,0.3967945604662457,0.04812724474089278,0.316891891891892
test,1017,0.18391825855175478,414,2251,0.36441638335761695,0.18261291889266634,0.16043386757325562,0.6320220171604338,0.3679779828395661,0.03204550329264755,0.2110023172884124
test,1018,0.1826086956521739,441,2415,0.3909664885866926,0.11154282013922616,0.16043386757325562,0.6822081916788085,0.3177918083211915,0.03073594039306668,0.20237955346651
test,1019,0.18415761962203459,458,2487,0.4026226323457989,0.12190383681398738,0.16043386757325562,0.7003399708596406,0.2996600291403594,0.03228486436292735,0.21257838055184258
test,1020,0.17792792792792791,474,2664,0.4312773190869354,0.10409583940424154,0.16043386757325562,0.7315849117694674,0.2684150882305326,0.02605517266882068,0.1715592281470659
test,1021,0.17976190476190476,453,2520,0.40796503156872266,0.13841670713938806,0.16043386757325562,0.7066537153958232,0.2933462846041768,0.027889149502797528,0.18363497425997427
test,1022,0.17013639626704954,474,2786,0.45102800712319896,0.1389023797960175,0.16043386757325562,0.7565161081431115,0.24348389185688846,0.01826364100794231,0.12025620379891744
test,1023,0.18377742946708464,469,2552,0.4131455399061033,0.10960012951270844,0.16043386757325562,0.7102153148777723,0.2897846851222276,0.03190467420797741,0.21007503388968907
test,1024,0.17309941520467836,444,2565,0.41525012141816414,0.12255140035615995,0.16043386757325562,0.709729642221143,0.29027035777885707,0.02122665994557113,0.13976608187134504
test,1025,0.1761275272161742,453,2572,0.41638335761696615,0.10490529383195726,0.16043386757325562,0.7098915331066861,0.29010846689331393,0.024254771957066962,0.1597045626497416
test,1026,0.1710870377288009,458,2677,0.4333819005989963,0.19621175327829043,0.16043386757325562,0.7158814958717824,0.2841185041282176,0.019214282469693672,0.12651566396430056
test,1027,0.17765495459928937,450,2533,0.41006961308078355,0.09956289460903352,0.16043386757325562,0.6996924073174681,0.300307592682532,0.025782199340182138,0.16976184633113173
test,1028,0.17996930161166538,469,2606,0.4218876477254331,0.17160433867573255,0.16043386757325562,0.7173385138416707,0.2826614861583293,0.02809654635255815,0.18500057040924267
test,1029,0.17341678939617083,471,2716,0.4396956451351789,0.12125627327181479,0.16043386757325562,0.7406508013598835,0.2593491986401166,0.0215440341370636,0.14185581936870595
