split,event_index,baseline_cumulative_reward,baseline_cumulative_coverage,adaptive_cumulative_reward_mean,adaptive_cumulative_reward_lower,adaptive_cumulative_reward_upper,adaptive_cumulative_coverage_mean,adaptive_cumulative_exploration_rate_mean,adaptive_celular_selection_rate_mean,adaptive_telefone_selection_rate_mean
validation,1,0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.6
validation,2,0,0.0,0.0,0.0,0.0,0.48333333333333334,0.48333333333333334,0.5166666666666667,0.48333333333333334
validation,3,0,0.0,0.0,0.0,0.0,0.4888888888888889,0.4888888888888889,0.5111111111111111,0.4888888888888889
validation,4,0,0.0,0.0,0.0,0.0,0.43333333333333335,0.43333333333333335,0.5666666666666667,0.43333333333333335
validation,5,0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.6,0.4000000000000001
validation,6,0,0.0,0.0,0.0,0.0,0.3777777777777778,0.3777777777777778,0.6222222222222222,0.3777777777777778
validation,7,0,0.0,0.0,0.0,0.0,0.3619047619047619,0.3619047619047619,0.6380952380952379,0.3619047619047619
validation,8,0,0.0,0.0,0.0,0.0,0.3625,0.3625,0.6375,0.3625
validation,9,0,0.0,0.2,0.0,1.0,0.3444444444444444,0.3444444444444444,0.6555555555555557,0.3444444444444444
validation,10,0,0.0,0.2,0.0,1.0,0.34,0.34,0.66,0.34
validation,11,0,0.0,0.2,0.0,1.0,0.33030303030303027,0.33030303030303027,0.6696969696969698,0.33030303030303027
validation,12,0,0.0,0.2,0.0,1.0,0.325,0.325,0.675,0.325
validation,13,0,0.0,0.2,0.0,1.0,0.32820512820512826,0.32820512820512826,0.6717948717948722,0.32820512820512826
validation,14,0,0.0,0.2,0.0,1.0,0.32142857142857145,0.32142857142857145,0.6785714285714287,0.32142857142857145
validation,15,0,0.0,0.2,0.0,1.0,0.3044444444444446,0.3044444444444446,0.6955555555555559,0.3044444444444446
validation,16,0,0.0,0.2,0.0,1.0,0.2916666666666667,0.2916666666666667,0.7083333333333334,0.2916666666666667
validation,17,0,0.0,0.2,0.0,1.0,0.28235294117647053,0.28235294117647053,0.7176470588235297,0.28235294117647053
validation,18,0,0.0,0.2,0.0,1.0,0.28518518518518526,0.28518518518518526,0.7148148148148148,0.28518518518518526
validation,19,0,0.0,0.2,0.0,1.0,0.2754385964912281,0.2754385964912281,0.7245614035087721,0.2754385964912281
validation,20,0,0.0,0.2,0.0,1.0,0.26999999999999996,0.26999999999999996,0.7299999999999999,0.26999999999999996
validation,21,0,0.0,0.2,0.0,1.0,0.2650793650793651,0.2650793650793651,0.7349206349206353,0.2650793650793651
validation,22,0,0.0,0.2,0.0,1.0,0.2545454545454545,0.2545454545454545,0.7454545454545455,0.2545454545454545
validation,23,0,0.0,0.2,0.0,1.0,0.25797101449275367,0.25797101449275367,0.7420289855072464,0.25797101449275367
validation,24,0,0.0,0.2,0.0,1.0,0.2527777777777779,0.2527777777777779,0.7472222222222219,0.2527777777777779
validation,25,0,0.0,0.2,0.0,1.0,0.24933333333333343,0.24933333333333343,0.7506666666666667,0.24933333333333343
validation,26,0,0.0,0.26666666666666666,0.0,1.0,0.24230769230769236,0.24230769230769236,0.7576923076923078,0.24230769230769236
validation,27,0,0.0,0.26666666666666666,0.0,1.0,0.23827160493827163,0.23827160493827163,0.7617283950617285,0.23827160493827163
validation,28,0,0.0,0.26666666666666666,0.0,1.0,0.23333333333333334,0.23333333333333334,0.7666666666666667,0.23333333333333334
validation,29,0,0.0,0.26666666666666666,0.0,1.0,0.23218390804597702,0.23218390804597702,0.767816091954023,0.23218390804597702
validation,30,0,0.0,0.26666666666666666,0.0,1.0,0.23444444444444448,0.23444444444444448,0.7655555555555558,0.23444444444444448
validation,31,0,0.0,0.26666666666666666,0.0,1.0,0.2311827956989246,0.2311827956989246,0.7688172043010749,0.2311827956989246
validation,32,0,0.0,0.26666666666666666,0.0,1.0,0.23125,0.23125,0.76875,0.23125
validation,33,0,0.0,0.26666666666666666,0.0,1.0,0.22525252525252512,0.22525252525252512,0.7747474747474746,0.22525252525252512
validation,34,0,0.0,0.26666666666666666,0.0,1.0,0.22156862745098035,0.22156862745098035,0.7784313725490197,0.22156862745098035
validation,35,0,0.0,0.26666666666666666,0.0,1.0,0.22095238095238096,0.22095238095238096,0.7790476190476194,0.22095238095238096
validation,36,0,0.0,0.26666666666666666,0.0,1.0,0.22037037037037036,0.22037037037037036,0.7796296296296298,0.22037037037037036
validation,37,0,0.0,0.26666666666666666,0.0,1.0,0.218918918918919,0.218918918918919,0.7810810810810812,0.218918918918919
validation,38,0,0.0,0.26666666666666666,0.0,1.0,0.21666666666666667,0.21666666666666667,0.7833333333333335,0.21666666666666667
validation,39,0,0.0,0.26666666666666666,0.0,1.0,0.21282051282051284,0.21282051282051284,0.7871794871794876,0.21282051282051284
validation,40,0,0.0,0.26666666666666666,0.0,1.0,0.20916666666666664,0.20916666666666664,0.7908333333333333,0.20916666666666664
validation,41,0,0.0,0.26666666666666666,0.0,1.0,0.20731707317073184,0.20731707317073184,0.7926829268292683,0.20731707317073184
validation,42,0,0.0,0.26666666666666666,0.0,1.0,0.20476190476190476,0.20476190476190476,0.7952380952380954,0.20476190476190476
validation,43,0,0.0,0.26666666666666666,0.0,1.0,0.2007751937984496,0.2007751937984496,0.7992248062015505,0.2007751937984496
validation,44,0,0.0,0.26666666666666666,0.0,1.0,0.19999999999999993,0.19999999999999993,0.8,0.19999999999999993
validation,45,0,0.0,0.26666666666666666,0.0,1.0,0.19777777777777777,0.19777777777777777,0.8022222222222227,0.19777777777777777
validation,46,0,0.0,0.26666666666666666,0.0,1.0,0.19927536231884066,0.19927536231884066,0.8007246376811595,0.19927536231884066
validation,47,0,0.0,0.26666666666666666,0.0,1.0,0.1957446808510638,0.1957446808510638,0.8042553191489361,0.1957446808510638
validation,48,0,0.0,0.26666666666666666,0.0,1.0,0.19374999999999995,0.19374999999999995,0.8062500000000001,0.19374999999999995
validation,49,0,0.0,0.26666666666666666,0.0,1.0,0.19319727891156463,0.19319727891156463,0.8068027210884355,0.19319727891156463
validation,50,0,0.0,0.26666666666666666,0.0,1.0,0.19333333333333338,0.19333333333333338,0.8066666666666665,0.19333333333333338
validation,51,0,0.0,0.26666666666666666,0.0,1.0,0.19215686274509808,0.19215686274509808,0.8078431372549024,0.19215686274509808
validation,52,0,0.0,0.26666666666666666,0.0,1.0,0.19294871794871798,0.19294871794871798,0.8070512820512821,0.19294871794871798
